No,Type 1,Type,Posted,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,ER,Lockdown o,Lockdown,Time,Week,week 100
1,22,Straight-tell,12:56:41 AM,142544,193701,7041,3.63%,100,Lockdown,1,Day,100
2,44,Influencer-apperance,5:00:00 PM,49896,59259,2800,4.73%,200,BC,3,End,200
3,33,Testimonial,6:55:03 PM,149755,179973,8531,4.74%,200,BC,4,End,200
4,44,Influencer-apperance,6:00:00 PM,104730,119680,5488,4.59%,200,BC,3,End,200
5,44,Influencer-apperance,6:00:00 PM,90894,103055,4374,4.24%,200,BC,3,End,200
6,44,Influencer-apperance,10:15:00 PM,129070,149952,6764,4.51%,200,BC,4,Day,100
7,11,Story-telling,6:28:47 PM,141736,165230,8236,4.98%,200,BC,4,End,200
8,44,Influencer-apperance,5:34:37 PM,57910,66947,3284,4.91%,200,BC,3,Day,100
9,11,Story-telling,6:00:01 PM,57738,72691,2634,3.62%,100,Lockdown,4,Day,100
10,11,Story-telling,6:45:29 PM,23235,30867,759,2.46%,100,Lockdown,4,Day,100
11,33,Testimonial,7:35:34 PM,17749,28332,782,2.76%,100,Lockdown,4,Day,100
12,22,Straight-tell,7:00:03 PM,36459,50128,1234,2.46%,100,Lockdown,1,Day,100
13,44,Influencer-apperance,2:03:45 AM,65333,104060,3355,3.22%,100,Lockdown,2,Day,100
14,22,Straight-tell,8:49:56 AM,26297,43110,1368,3.17%,100,Lockdown,1,Day,100
15,11,Story-telling,1:54:00 AM,89778,121833,3510,2.88%,100,Lockdown,1,Day,100
16,22,Straight-tell,6:00:01 PM,45310,56447,2282,4.04%,100,Lockdown,3,Day,100
17,22,Straight-tell,7:19:04 PM,55525,73485,4391,5.98%,100,Lockdown,4,End,200
18,11,Story-telling,1:38:57 AM,56829,73259,2538,3.46%,100,Lockdown,1,Day,100
19,22,Straight-tell,11:17:48 PM,37242,54351,2285,4.20%,100,Lockdown,4,Day,100
20,22,Straight-tell,7:24:50 PM,20899,25448,770,3.03%,100,Lockdown,4,Day,100
21,22,Straight-tell,7:00:19 PM,56212,66246,2601,3.93%,100,Lockdown,4,Day,100
22,33,Testimonial,2:24:52 AM,21379,25249,959,3.80%,100,Lockdown,1,Day,100
23,22,Straight-tell,7:00:18 PM,54260,63269,2385,3.77%,100,Lockdown,4,Day,100
24,11,Story-telling,6:47:39 PM,130735,223757,6195,2.77%,100,Lockdown,4,Day,100
25,11,Story-telling,7:00:37 PM,30495,34440,1335,3.88%,100,Lockdown,4,End,200
26,11,Story-telling,7:00:02 PM,41633,47905,1935,4.04%,100,Lockdown,4,Day,100
27,11,Story-telling,7:00:00 PM,48556,55735,2071,3.72%,100,Lockdown,4,Day,100
28,22,Straight-tell,7:00:00 PM,11872,14910,495,3.32%,100,Lockdown,4,Day,100
29,11,Story-telling,6:00:01 PM,46946,54193,1865,3.44%,200,BC,3,Day,100
30,11,Story-telling,6:00:00 PM,20224,24097,825,3.42%,200,BC,3,Day,100
31,33,Testimonial,7:41:41 PM,13483,16092,495,3.08%,100,Lockdown,4,End,200
32,22,Straight-tell,6:00:01 PM,32631,38113,1064,2.79%,100,Lockdown,3,End,200
33,11,Story-telling,6:00:00 PM,17272,20480,560,2.73%,100,Lockdown,3,Day,100
34,22,Straight-tell,6:00:01 PM,46100,55713,1925,3.46%,100,Lockdown,3,Day,100
35,22,Straight-tell,6:00:01 PM,39755,49831,1870,3.75%,100,Lockdown,3,Day,100
36,33,Testimonial,6:30:00 PM,88033,102635,3726,3.63%,100,Lockdown,4,Day,100
37,11,Story-telling,6:00:00 PM,21929,25488,692,2.72%,100,Lockdown,3,End,200
38,22,Straight-tell,2:05:13 AM,151372,184282,7833,4.25%,100,Lockdown,1,Day,100
