"Name","Live ML Rank","Change","Live OR","Live GW Points","Live Overall Points","Pts to 1st","Pts/GW to 1st","Captain","Vice-Captain","Active Chip","Left to play - starters","Left to play - bench","Bench Pts","GW Txs","Net Txs Pts"
"Its Coming Home - Firminol","1","N/A","95177","107","107","0","0.00","Salah","Fernandes","","0","0","2","0","0"
"Haziq Senin","2","N/A","253001","102","102","5","0.14","Salah","Alexander-Arnold","","0","0","6","0","0"
"Fahmy Fahd","3","N/A","316045","101","101","6","0.16","Salah","Fernandes","","0","0","6","0","0"
"Mohamad Iskandar Omar","4","N/A","1384048","88","88","19","0.51","Salah","Martínez","","0","0","11","0","0"
"RY Renjuna","5","N/A","1578948","86","86","21","0.57","Salah","Iheanacho","","0","0","3","0","0"
"One Samat","6","N/A","1676907","85","85","22","0.59","Salah","Fernandes","","0","0","1","0","0"
"Khairudin Yaacob","7","N/A","1892149","83","83","24","0.65","Benrahma","Alexander-Arnold","","0","0","10","0","0"
"Mohd Azmir Hussein","8","N/A","2004590","82","82","25","0.68","Fernandes","Shaw","","0","0","10","0","0"
"Ali Johari","9","N/A","3219393","71","71","36","0.97","Salah","Schmeichel","","0","0","0","0","0"
"Rosman MS","10","N/A","3643163","67","67","40","1.08","Salah","Son","","0","0","9","0","0"
"Muhammad Adli Alias","11","N/A","3643163","67","67","40","1.08","Antonio","Havertz","","0","0","14","0","0"
"Salleh Salim","12","N/A","4226667","61","61","46","1.24","Kane","Lloris","","0","0","9","0","0"
"amero diego","13","N/A","4733614","55","55","52","1.41","Gündogan","Salah","","0","0","0","0","0"
