"Name","Live ML Rank","Change","Live OR","Live GW Points","Live Overall Points","Pts to 1st","Pts/GW to 1st","Captain","Vice-Captain","Active Chip","Left to play - starters","Left to play - bench","Bench Pts","GW Txs","Net Txs Pts"
"azim disaster","1","N/A","79466","108","108","0","0.00","Salah","Fernandes","","0","0","6","0","0"
"Mhmd Hfz Hssn","2","N/A","817666","94","94","14","0.38","Salah","Fernandes","","0","0","12","0","0"
"Abaddullah Josmani","3","N/A","911312","93","93","15","0.41","Fernandes","Son","","0","0","1","0","0"
"Tony Stark","4","N/A","1002925","92","92","16","0.43","Salah","Fernandes","","0","0","10","0","0"
"Khairudin Yaacob","5","N/A","1892149","83","83","25","0.68","Benrahma","Alexander-Arnold","","0","0","10","0","0"
"Azhan Nasruddin","6","N/A","2221526","80","80","28","0.76","Salah","Alisson","","0","0","4","0","0"
"Doc Friday","7","N/A","3643163","67","67","41","1.11","Fernandes","Ward-Prowse","","0","0","11","0","0"
"Firdaus Radi","8","N/A","3744897","66","66","42","1.14","Vardy","Salah","","0","0","9","0","0"
"Audy Syazwan","9","N/A","3845544","65","65","43","1.16","Fernandes","Kane","","0","0","12","0","0"
"daus md","10","N/A","4733614","55","55","53","1.43","Aubameyang","Martínez","","0","0","2","0","0"
"Maulana FT","11","N/A","6272890","31","31","77","2.08","Iheanacho","Martínez","","0","0","10","0","0"
